11,10,1
1,0,1
12,10,1
2,0,1
13,10,1
3,0,1
14,10,1
4,0,1
10,11,1
0,1,1
12,11,1
2,1,1
13,11,1
3,1,1
14,11,1
4,1,1
10,12,1
0,2,1
11,12,1
1,2,1
13,12,1
3,2,1
14,12,1
4,2,1
10,13,1
0,3,1
11,13,1
1,3,1
12,13,1
2,3,1
14,13,1
4,3,1
10,14,1
0,4,1
11,14,1
1,4,1
12,14,1
2,4,1
13,14,1
3,4,1
16,15,1
6,5,1
17,15,1
7,5,1
18,15,1
8,5,1
19,15,1
9,5,1
15,16,1
5,6,1
17,16,1
7,6,1
18,16,1
8,6,1
19,16,1
9,6,1
15,17,1
5,7,1
16,17,1
6,7,1
18,17,1
8,7,1
19,17,1
9,7,1
15,18,1
5,8,1
16,18,1
6,8,1
17,18,1
7,8,1
19,18,1
9,8,1
15,19,1
5,9,1
16,19,1
6,9,1
17,19,1
7,9,1
18,19,1
8,9,1
